编号,设施名称,设施地址,功能模块,所在楼层,联系电话,所属类型,开放时间,备注,大类
1995731668194349058,万体汇党群服务中心·邻里汇,天钥桥路498号,小哥驿站,1,-,便民服务,8：30-20：00,,宜居
1995731669112901633,万体汇党群服务中心·邻里汇,天钥桥路498号,社区食堂,1,13764461660,便民服务,早餐7：00-9：00  午餐 10：30-13：00  晚餐16：30-19：00,,宜居
1995731669112901634,万体汇党群服务中心·邻里汇,天钥桥路498号,洗衣房,1,54650201,便民服务,8：30-20：00,,宜居
1995731669112901635,万体汇党群服务中心·邻里汇,天钥桥路498号,便民理发,1,54650201,便民服务,8：30-20：00,,宜居
1995731669112901636,万体汇党群服务中心·邻里汇,天钥桥路498号,便民服务,1,54650201,便民服务,8：30-20：00,,宜居
1995731669112901637,万体汇党群服务中心·邻里汇,天钥桥路498号,戎咖,1,18901818180,便民服务,8：00-19：00,,宜居
1995731669112901639,万体汇党群服务中心·邻里汇,天钥桥路498号,无障碍卫生间,1,-,卫生间,-,,
1995731669184204801,万体汇党群服务中心·邻里汇,天钥桥路498号,零工驿站,1,34199746,党群服务,周一至周五 8：30-11：00  13：30-16：30,,宜居
1995731669184204802,万体汇党群服务中心·邻里汇,天钥桥路498号,戎耀会客厅,1,13761012133,党群服务,周一至周五 8：30-11：00  13：30-16：30,,宜居
1995731669184204809,万体汇党群服务中心·邻里汇,天钥桥路498号,门厅、展示,1,-,文化活动,-,,宜学
1995731669184204810,万体汇党群服务中心·邻里汇,天钥桥路498号,咨询台,1,-,便民服务,-,,宜居
1995731669184204811,万体汇党群服务中心·邻里汇,天钥桥路498号,休息区,1,-,文化活动,8：00-20：00,,宜学
1995731669184204812,万体汇党群服务中心·邻里汇,天钥桥路498号,护士办公室,2,64868306,行政管理,周一至周五 8：00-11：00  13：30-16：00,,宜居
1995731669184204813,万体汇党群服务中心·邻里汇,天钥桥路498号,医生办公室,2,64868306,行政管理,周一至周五 8：00-11：00  13：30-16：00,,宜居
1995731669184204814,万体汇党群服务中心·邻里汇,天钥桥路498号,家床工作室（资料室）,2,13761272580,行政管理,周一至周五 9：00-16：00,,宜居
1995731669184204815,万体汇党群服务中心·邻里汇,天钥桥路498号,心理咨询室/健康教育室,2,64868306,健康管理,周一至周五 8：00-11：00  13：30-16：00,,宜养
1995731669184204816,万体汇党群服务中心·邻里汇,天钥桥路498号,导诊台,2,64868306,健康管理,周一至周五 8：00-11：00  13：30-16：00,,宜养
1995731669184204817,万体汇党群服务中心·邻里汇,天钥桥路498号,全科诊室,2,64868306,健康管理,周一至周五 8：00-11：00  13：30-16：00,,宜养
1995731669184204818,万体汇党群服务中心·邻里汇,天钥桥路498号,中医理疗/康复,2,64868306,健康管理,周一至周五 8：00-11：00  13：30-16：00,,宜养
1995731669184204819,万体汇党群服务中心·邻里汇,天钥桥路498号,输液室、注射区、护士台,2,64868306,健康管理,周一至周五 8：00-11：00  13：30-16：00,,宜养
1995731669242925058,万体汇党群服务中心·邻里汇,天钥桥路498号,配药间,2,64868306,健康管理,周一至周五 8：00-11：00  13：30-16：00,,宜养
1995731669242925059,万体汇党群服务中心·邻里汇,天钥桥路498号,收费窗口,2,64868306,健康管理,周一至周五 8：00-11：00  13：30-16：00,,宜养
1995731669242925060,万体汇党群服务中心·邻里汇,天钥桥路498号,日间照料中心,2,15800671643,为老服务,周一至周五 9：00-16：00,,宜养
1995731669242925061,万体汇党群服务中心·邻里汇,天钥桥路498号,卫生间/助浴,2,-,卫生间,-,,
1995731669242925062,万体汇党群服务中心·邻里汇,天钥桥路498号,认知障碍支持中心,2,19921173987,健康管理,周一至周五 9：00-16：00,,宜养
1995731669242925063,万体汇党群服务中心·邻里汇,天钥桥路498号,长者运动之家,2,13052098209,体育健身,8：30-18：00,,
1995731669242925076,万体汇党群服务中心·邻里汇,天钥桥路498号,亲子卫生间/母婴室,3,-,卫生间,-,,
1995731669310033922,万体汇党群服务中心·邻里汇,天钥桥路498号,百姓大舞台/百姓议事厅,3,54650201,党群服务,8：30-20：00,,宜居
1995731669310033923,万体汇党群服务中心·邻里汇,天钥桥路498号,少儿高尔夫,3,13901867411,体育健身,10：00-19：00,,
1995731669310033924,万体汇党群服务中心·邻里汇,天钥桥路498号,暖心湾,3,17307091410,党群服务,周二至周五 13：30-16：30  周六8：30-11：30  13：30-16：30,,宜居
1995731669310033925,万体汇党群服务中心·邻里汇,天钥桥路498号,未成年人保护站/法律援助站,3,17307091410,托育养育,周二至周五 13：30-16：30  周六8：30-11：30  13：30-16：30,,宜学
1995731669310033926,万体汇党群服务中心·邻里汇,天钥桥路498号,家庭教育指导站,3,17307091410,托育养育,8：30-20：00,,宜学
1995731669310033927,万体汇党群服务中心·邻里汇,天钥桥路498号,家庭亲子运动空间,3,13901867411,托育养育,10：00-20：00,,宜学
1995731669310033928,万体汇党群服务中心·邻里汇,天钥桥路498号,亲子公共空间,3,-,托育养育,8：30-20：00,,宜学
1995731669310033929,万体汇党群服务中心·邻里汇,天钥桥路498号,少儿运动空间,3,13901867411,托育养育,9：00-19：00,,宜学
1995731669310033939,万体汇党群服务中心·邻里汇,天钥桥路498号,宣传展示,3,-,文化活动,-,,宜学
